observed_Vp,observed_Vs,observed_rho,observed_phi,GD1_Vp,GD1_Vs,GD1_rho,GD1_phi,GD_Vp,GD_Vs,GD_rho,GD_phi
5175.652078,3134.912444,2622.170906,0.017564707,5471.619709,2644.367622,2593.767256,0.006765651,5060.199921,3246.936422,2667.520959,0.023048164
6929.460356,3224.814566,2662.122282,0.003839302,6721.151203,3166.918941,2645.902763,0.00845742,6779.281183,3189.874918,2675.944073,0.015344655
3595.786895,1924.515073,2414.646094,0.148855323,3558.75018,1940.361538,2395.320121,0.150623505,3489.223044,1974.238825,2407.079683,0.145677562
3783.789707,2045.673855,2412.662797,0.135744376,3770.908356,2156.83349,2437.819329,0.107345061,3787.535588,2055.058434,2416.815039,0.123576693
3490.714331,1973.948905,2399.894319,0.15204402,3515.276155,1914.523955,2373.920877,0.151673998,3516.590373,1898.995624,2369.400537,0.150557574
6507.352635,3016.851029,2682.027919,0.017931123,6442.984477,3258.437933,2685.182019,0.019488491,6620.614626,3076.928984,2700.002418,0.010682583
4835.056108,2868.694936,2623.713465,0.037692589,5172.668927,2835.965574,2610.055586,0.030528374,5136.595038,2797.491222,2649.832065,0.016304268
6789.205263,3200.985602,2651.367803,0.00160087,6693.386287,3148.831924,2650.693959,0.003242619,6594.573606,3191.412791,2653.54519,0.020604212
3609.968806,1950.480425,2405.464582,0.141979715,3574.84874,1943.900088,2396.085097,0.148445099,3603.445134,1957.948093,2405.938559,0.13835302
3678.052598,1997.063911,2396.952989,0.132862094,3707.397906,1977.164514,2406.515379,0.115463965,3716.423598,2060.926751,2399.341515,0.127827303
3528.175163,1971.112809,2388.098669,0.157964285,3575.189819,1945.45583,2373.030149,0.152174778,3568.020388,1859.331969,2350.099356,0.146659142
6201.79896,2977.043996,2686.487305,0.022344606,6085.215614,3209.269887,2692.925102,0.027466731,6348.391293,3075.580337,2669.595972,0.019302881
4978.454085,2860.337468,2640.188497,0.032613278,5290.403107,2573.845431,2641.470932,0.014787185,5394.555761,2677.571634,2632.14196,0.014741186
6763.014369,3088.714296,2636.500678,-0.002856506,6508.882889,3168.478661,2677.132946,0.010683038,6582.181979,3113.799497,2655.962675,0.008756849
3505.897368,1926.447771,2403.252946,0.148188384,3621.082836,1960.924015,2396.438848,0.154448685,3574.598798,1948.537989,2401.925074,0.141038571
3664.326067,1923.978444,2390.512091,0.127568259,3634.123379,2032.767537,2397.596384,0.127142378,3637.43532,2057.947062,2408.424286,0.129893065
3484.041291,2014.979794,2372.240077,0.157118349,3564.814047,1986.596722,2358.796199,0.154707329,3514.815241,1935.665667,2347.085681,0.154739211
5920.268627,3049.159354,2666.15458,0.029505127,5821.176093,3158.071477,2680.36378,0.030886662,6120.786702,3081.855121,2652.363385,0.026137497
5394.727438,2628.96078,2605.63346,0.030947681,4993.263008,2783.28367,2635.631508,0.013185087,5192.631999,2278.870942,2615.921192,0.04020853
6584.937403,3041.472946,2633.365298,0.005857917,6394.464965,3145.573153,2666.652537,0.011196168,6465.40641,3051.134297,2637.872091,0.01688705
3597.497204,1983.224764,2386.258973,0.140858493,3606.943482,1980.168839,2386.049274,0.143181703,3567.819144,1979.935459,2385.077228,0.135995355
3693.236202,1971.78887,2402.26226,0.124735127,3683.340747,2012.767824,2412.595852,0.121391995,3671.05657,2096.580151,2421.075207,0.123524144
3438.370422,1980.543104,2381.982018,0.168699194,3538.50333,1979.341683,2367.315801,0.156200061,3468.264835,1908.686069,2363.745869,0.170113809
